Live,Symbol,Percentage,Initial_Margin,Maintenance,Hedge,Margin_Calculation,Profit_Calculation,Trade,Comment
Live - 2,GBPJPY, , , , , , , ,Symbol ignored: *
Live - 2,GBPJPY`, , , , , , , ,Symbol ignored: *
Live - 2,GBPJPYq, , , , , , , ,Symbol ignored: *
Live - 2,GBPNZD`, , , , , , , ,Symbol ignored: *
Live - 2,GBPNZDq, , , , , , , ,Symbol ignored: *
Live - 2,GBPSGD, , , , , , , ,Symbol ignored: *
Live - 2,GBPSGDq, , , , , , , ,Symbol ignored: *
Live - 2,GBPUSD, , , , , , , ,Symbol ignored: *
Live - 2,GBPUSD`, , , , , , , ,Symbol ignored: *
Live - 2,GBPUSDq, , , , , , , ,Symbol ignored: *
Live - 2,NZDCAD`, , , , , , , ,Symbol ignored: *
Live - 2,NZDCADq, , , , , , , ,Symbol ignored: *
Live - 2,NZDCHF`, , , , , , , ,Symbol ignored: *
Live - 2,NZDCHFq, , , , , , , ,Symbol ignored: *
Live - 2,NZDJPY, , , , , , , ,Symbol ignored: *
Live - 2,NZDJPY`, , , , , , , ,Symbol ignored: *
Live - 2,NZDJPYq, , , , , , , ,Symbol ignored: *
Live - 2,NZDUSD, , , , , , , ,Symbol ignored: *
Live - 2,NZDUSD`, , , , , , , ,Symbol ignored: *
Live - 2,NZDUSDq, , , , , , , ,Symbol ignored: *
Live - 2,SGDJPY, , , , , , , ,Symbol ignored: *
Live - 2,SGDJPY`, , , , , , , ,Symbol ignored: *
Live - 2,SGDJPYq, , , , , , , ,Symbol ignored: *
Live - 2,USDCAD, , , , , , , ,Symbol ignored: *
Live - 2,USDCAD`, , , , , , , ,Symbol ignored: *
Live - 2,USDCADq, , , , , , , ,Symbol ignored: *
Live - 2,USDCHF, , , , , , , ,Symbol ignored: *
Live - 2,USDCHF`, , , , , , , ,Symbol ignored: *
Live - 2,USDCHFq, , , , , , , ,Symbol ignored: *
Live - 2,USDCNHq, , , , , , , ,Symbol ignored: *
Live - 2,USDHKDq, , , , , , , ,Symbol ignored: *
